Id,UTC,UTCMilliseconds,PCLocalTime,PCTime,UpdateOf,Species,Volume,Channels,Comment,Potential_for_screening
54,2021-08-12 09:07:45.648,648,2021-08-12 06:07:45.648,2021-08-12 09:07:45.648,0,Other Noise                                       ,0,3,,
55,2021-08-12 09:07:50.695,695,2021-08-12 06:07:50.695,2021-08-12 09:07:50.695,0,,-1,3,engine on                                         ,
56,2021-08-12 09:29:28.518,518,2021-08-12 06:29:28.518,2021-08-12 09:29:28.519,0,NBW                                               ,3,3,,
57,2021-08-12 09:29:31.517,517,2021-08-12 06:29:31.517,2021-08-12 09:29:31.517,0,Sperm Whale                                       ,0,3,,
58,2021-08-12 09:29:33.982,982,2021-08-12 06:29:33.982,2021-08-12 09:29:33.982,0,Dolphin Clicks                                    ,0,3,,
59,2021-08-12 09:29:35.371,371,2021-08-12 06:29:35.371,2021-08-12 09:29:35.371,0,Dolphin Whistles                                  ,0,3,,
60,2021-08-12 09:29:37.644,644,2021-08-12 06:29:37.644,2021-08-12 09:29:37.644,0,Ship Noise                                        ,0,3,,
61,2021-08-12 09:29:38.870,870,2021-08-12 06:29:38.870,2021-08-12 09:29:38.870,0,Airguns                                           ,0,3,,
62,2021-08-12 09:29:40.133,133,2021-08-12 06:29:40.133,2021-08-12 09:29:40.133,0,Other Noise                                       ,0,3,,
63,2021-08-12 09:30:11.305,305,2021-08-12 06:30:11.305,2021-08-12 09:30:11.305,0,,-1,3,engone pff. BNW milling                           ,yes
64,2021-08-12 09:30:50.046,46,2021-08-12 06:30:50.046,2021-08-12 09:30:50.046,0,,-1,3,engine on                                         ,
65,2021-08-12 09:39:37.657,657,2021-08-12 06:39:37.657,2021-08-12 09:39:37.657,0,NBW                                               ,3,3,,
66,2021-08-12 09:39:49.203,203,2021-08-12 06:39:49.203,2021-08-12 09:39:49.203,0,,-1,3,engine off                                        ,
67,2021-08-12 09:40:25.544,544,2021-08-12 06:40:25.544,2021-08-12 09:40:25.544,0,NBW                                               ,5,3,,
68,2021-08-12 10:14:14.153,153,2021-08-12 07:14:14.153,2021-08-12 10:14:14.153,0,NBW                                               ,0,3,,
69,2021-08-12 10:14:15.725,725,2021-08-12 07:14:15.725,2021-08-12 10:14:15.725,0,Sperm Whale                                       ,0,3,,
70,2021-08-12 10:14:16.531,531,2021-08-12 07:14:16.531,2021-08-12 10:14:16.531,0,Dolphin Clicks                                    ,0,3,,
71,2021-08-12 10:14:17.542,542,2021-08-12 07:14:17.542,2021-08-12 10:14:17.542,0,Dolphin Whistles                                  ,0,3,,
72,2021-08-12 10:14:18.370,370,2021-08-12 07:14:18.370,2021-08-12 10:14:18.370,0,Ship Noise                                        ,0,3,,
73,2021-08-12 10:14:19.336,336,2021-08-12 07:14:19.336,2021-08-12 10:14:19.336,0,Airguns                                           ,0,3,,
74,2021-08-12 10:14:22.762,762,2021-08-12 07:14:22.762,2021-08-12 10:14:22.762,0,Other Noise                                       ,0,3,,
75,2021-08-12 10:27:37.058,58,2021-08-12 07:27:37.058,2021-08-12 10:27:37.058,0,NBW                                               ,0,3,,
76,2021-08-12 10:27:38.350,350,2021-08-12 07:27:38.350,2021-08-12 10:27:38.350,0,Sperm Whale                                       ,0,3,,
77,2021-08-12 10:27:39.104,104,2021-08-12 07:27:39.104,2021-08-12 10:27:39.104,0,Dolphin Clicks                                    ,0,3,,
78,2021-08-12 10:27:40.037,37,2021-08-12 07:27:40.037,2021-08-12 10:27:40.037,0,Dolphin Whistles                                  ,0,3,,
79,2021-08-12 10:28:39.902,902,2021-08-12 07:28:39.902,2021-08-12 10:28:39.902,0,Ship Noise                                        ,3,3,,
80,2021-08-12 10:28:57.730,730,2021-08-12 07:28:57.730,2021-08-12 10:28:57.730,0,Airguns                                           ,0,3,engine on                                         ,
81,2021-08-12 10:29:00.441,441,2021-08-12 07:29:00.441,2021-08-12 10:29:00.441,0,Other Noise                                       ,0,3,,
82,2021-08-12 11:03:58.735,735,2021-08-12 08:03:58.735,2021-08-12 11:03:58.735,0,Ship Noise                                        ,4,3,,
83,2021-08-12 11:04:00.109,109,2021-08-12 08:04:00.109,2021-08-12 11:04:00.109,0,NBW                                               ,0,3,,
84,2021-08-12 11:04:00.892,892,2021-08-12 08:04:00.892,2021-08-12 11:04:00.892,0,Sperm Whale                                       ,0,3,,
85,2021-08-12 11:04:01.689,689,2021-08-12 08:04:01.689,2021-08-12 11:04:01.689,0,Dolphin Clicks                                    ,0,3,,
86,2021-08-12 11:04:02.634,634,2021-08-12 08:04:02.634,2021-08-12 11:04:02.634,0,Dolphin Whistles                                  ,0,3,,
87,2021-08-12 11:04:04.221,221,2021-08-12 08:04:04.221,2021-08-12 11:04:04.221,0,Airguns                                           ,0,3,,
88,2021-08-12 11:04:05.042,42,2021-08-12 08:04:05.042,2021-08-12 11:04:05.042,0,Other Noise                                       ,0,3,,
89,2021-08-12 11:22:10.706,706,2021-08-12 08:22:10.706,2021-08-12 11:22:10.707,0,NBW                                               ,3,3,,
90,2021-08-12 11:22:19.467,467,2021-08-12 08:22:19.467,2021-08-12 11:22:19.467,0,NBW                                               ,3,3,,
91,2021-08-12 11:33:41.039,39,2021-08-12 08:33:41.039,2021-08-12 11:33:41.039,0,NBW                                               ,3,3,,
92,2021-08-12 11:33:43.826,826,2021-08-12 08:33:43.826,2021-08-12 11:33:43.826,0,Dolphin Clicks                                    ,1,3,,
93,2021-08-12 11:34:05.173,173,2021-08-12 08:34:05.173,2021-08-12 11:34:05.173,0,,-1,3,doublets/ triplets with two nbw dove at surface   ,yes
94,2021-08-12 12:10:08.505,505,2021-08-12 09:10:08.505,2021-08-12 12:10:08.505,0,NBW                                               ,3,3,,
95,2021-08-12 12:10:30.368,368,2021-08-12 09:10:30.368,2021-08-12 12:10:30.368,0,,-1,3,doublets with male and female/J at surface just d ,yes
96,2021-08-12 13:06:46.498,498,2021-08-12 10:06:46.498,2021-08-12 13:06:46.498,0,NBW                                               ,3,3,,
97,2021-08-12 13:08:33.377,377,2021-08-12 10:08:33.377,2021-08-12 13:08:33.377,0,Ship Noise                                        ,4,3,,
98,2021-08-12 13:08:59.842,842,2021-08-12 10:08:59.842,2021-08-12 13:08:59.842,0,,-1,3,Engine on                                         ,
99,2021-08-12 13:44:45.066,66,2021-08-12 10:44:45.066,2021-08-12 13:44:45.066,0,Ship Noise                                        ,3,3,,
100,2021-08-12 13:44:52.007,7,2021-08-12 10:44:52.007,2021-08-12 13:44:52.007,0,NBW                                               ,2,3,,
101,2021-08-12 13:44:53.365,365,2021-08-12 10:44:53.365,2021-08-12 13:44:53.365,0,Sperm Whale                                       ,0,3,,
102,2021-08-12 13:44:54.508,508,2021-08-12 10:44:54.508,2021-08-12 13:44:54.508,0,Dolphin Clicks                                    ,0,3,,
103,2021-08-12 13:44:56.428,428,2021-08-12 10:44:56.428,2021-08-12 13:44:56.428,0,Dolphin Whistles                                  ,0,3,,
104,2021-08-12 13:44:57.457,457,2021-08-12 10:44:57.457,2021-08-12 13:44:57.457,0,Airguns                                           ,0,3,,
105,2021-08-12 13:44:58.313,313,2021-08-12 10:44:58.313,2021-08-12 13:44:58.313,0,Other Noise                                       ,0,3,,
106,2021-08-12 13:47:02.945,945,2021-08-12 10:47:02.945,2021-08-12 13:47:02.945,0,NBW                                               ,0,3,,
107,2021-08-12 13:47:03.742,742,2021-08-12 10:47:03.742,2021-08-12 13:47:03.742,0,Sperm Whale                                       ,0,3,,
108,2021-08-12 13:47:04.618,618,2021-08-12 10:47:04.618,2021-08-12 13:47:04.618,0,Dolphin Clicks                                    ,0,3,,
109,2021-08-12 13:47:06.116,116,2021-08-12 10:47:06.116,2021-08-12 13:47:06.116,0,Dolphin Whistles                                  ,0,3,,
110,2021-08-12 13:47:06.894,894,2021-08-12 10:47:06.894,2021-08-12 13:47:06.894,0,Ship Noise                                        ,0,3,,
111,2021-08-12 13:47:12.847,847,2021-08-12 10:47:12.847,2021-08-12 13:47:12.847,0,Ship Noise                                        ,3,3,,
112,2021-08-12 13:47:25.048,48,2021-08-12 10:47:25.048,2021-08-12 13:47:25.048,0,Airguns                                           ,0,3,,
113,2021-08-12 13:47:25.908,908,2021-08-12 10:47:25.908,2021-08-12 13:47:25.908,0,Other Noise                                       ,0,3,,
114,2021-08-12 14:04:31.590,590,2021-08-12 11:04:31.590,2021-08-12 14:04:31.590,0,NBW                                               ,0,3,,
115,2021-08-12 14:04:33.702,702,2021-08-12 11:04:33.702,2021-08-12 14:04:33.702,0,Sperm Whale                                       ,0,3,,
116,2021-08-12 14:04:37.561,561,2021-08-12 11:04:37.561,2021-08-12 14:04:37.561,0,Dolphin Clicks                                    ,0,3,,
117,2021-08-12 14:04:38.572,572,2021-08-12 11:04:38.572,2021-08-12 14:04:38.572,0,Dolphin Whistles                                  ,0,3,,
118,2021-08-12 14:04:40.927,927,2021-08-12 11:04:40.927,2021-08-12 14:04:40.927,0,Ship Noise                                        ,3,3,,
119,2021-08-12 14:04:42.534,534,2021-08-12 11:04:42.534,2021-08-12 14:04:42.535,0,Airguns                                           ,0,3,,
120,2021-08-12 14:04:43.641,641,2021-08-12 11:04:43.641,2021-08-12 14:04:43.641,0,Other Noise                                       ,0,3,,
121,2021-08-12 14:32:31.774,774,2021-08-12 11:32:31.774,2021-08-12 14:32:31.774,0,NBW                                               ,1,3,potential clicks? very faint                      ,
122,2021-08-12 14:32:33.077,77,2021-08-12 11:32:33.077,2021-08-12 14:32:33.077,0,Dolphin Clicks                                    ,1,3,,
123,2021-08-12 14:32:34.151,151,2021-08-12 11:32:34.151,2021-08-12 14:32:34.151,0,Sperm Whale                                       ,0,3,,
124,2021-08-12 14:32:35.405,405,2021-08-12 11:32:35.405,2021-08-12 14:32:35.405,0,Dolphin Whistles                                  ,0,3,,
125,2021-08-12 14:32:36.953,953,2021-08-12 11:32:36.953,2021-08-12 14:32:36.953,0,Ship Noise                                        ,3,3,,
126,2021-08-12 14:32:37.872,872,2021-08-12 11:32:37.872,2021-08-12 14:32:37.872,0,Airguns                                           ,0,3,,
127,2021-08-12 14:32:38.714,714,2021-08-12 11:32:38.714,2021-08-12 14:32:38.714,0,Other Noise                                       ,0,3,,
128,2021-08-12 14:49:16.222,222,2021-08-12 11:49:16.222,2021-08-12 14:49:16.222,0,Dolphin Whistles                                  ,5,3,,
129,2021-08-12 14:49:21.567,567,2021-08-12 11:49:21.567,2021-08-12 14:49:21.567,0,,-1,3,pilot whales                                      ,
130,2021-08-12 15:00:45.884,884,2021-08-12 12:00:45.884,2021-08-12 15:00:45.884,0,NBW                                               ,2,3,,
131,2021-08-12 15:00:46.897,897,2021-08-12 12:00:46.897,2021-08-12 15:00:46.897,0,Sperm Whale                                       ,0,3,,
132,2021-08-12 15:00:47.764,764,2021-08-12 12:00:47.764,2021-08-12 15:00:47.764,0,Dolphin Clicks                                    ,0,3,,
133,2021-08-12 15:00:48.686,686,2021-08-12 12:00:48.686,2021-08-12 15:00:48.686,0,Dolphin Whistles                                  ,0,3,,
134,2021-08-12 15:00:49.611,611,2021-08-12 12:00:49.611,2021-08-12 15:00:49.611,0,Ship Noise                                        ,0,3,,
135,2021-08-12 15:00:50.567,567,2021-08-12 12:00:50.567,2021-08-12 15:00:50.567,0,Airguns                                           ,0,3,,
136,2021-08-12 15:00:53.335,335,2021-08-12 12:00:53.335,2021-08-12 15:00:53.335,0,Other Noise                                       ,0,3,,
137,2021-08-12 15:01:02.288,288,2021-08-12 12:01:02.288,2021-08-12 15:01:02.288,0,Ship Noise                                        ,3,3,,
138,2021-08-12 15:42:06.369,369,2021-08-12 12:42:06.369,2021-08-12 15:42:06.369,0,Ship Noise                                        ,3,3,,
139,2021-08-12 16:29:55.889,889,2021-08-12 13:29:55.889,2021-08-12 16:29:55.889,0,Ship Noise                                        ,2,3,,
140,2021-08-12 17:31:40.602,602,2021-08-12 14:31:40.602,2021-08-12 17:31:40.602,0,NBW                                               ,0,3,,
141,2021-08-12 17:31:41.571,571,2021-08-12 14:31:41.571,2021-08-12 17:31:41.571,0,Sperm Whale                                       ,0,3,,
142,2021-08-12 17:31:43.315,315,2021-08-12 14:31:43.315,2021-08-12 17:31:43.315,0,Dolphin Clicks                                    ,0,3,,
143,2021-08-12 17:31:44.219,219,2021-08-12 14:31:44.219,2021-08-12 17:31:44.219,0,Dolphin Whistles                                  ,0,3,,
144,2021-08-12 17:31:45.738,738,2021-08-12 14:31:45.738,2021-08-12 17:31:45.738,0,Ship Noise                                        ,0,3,,
145,2021-08-12 17:31:46.832,832,2021-08-12 14:31:46.832,2021-08-12 17:31:46.832,0,Airguns                                           ,0,3,,
146,2021-08-12 17:31:47.883,883,2021-08-12 14:31:47.883,2021-08-12 17:31:47.883,0,Other Noise                                       ,0,3,,
147,2021-08-12 18:04:45.627,627,2021-08-12 15:04:45.627,2021-08-12 18:04:45.627,0,NBW                                               ,2,3,,
148,2021-08-12 18:04:48.554,554,2021-08-12 15:04:48.554,2021-08-12 18:04:48.554,0,Sperm Whale                                       ,0,3,,
149,2021-08-12 18:04:51.775,775,2021-08-12 15:04:51.775,2021-08-12 18:04:51.775,0,Dolphin Whistles                                  ,1,3,,
150,2021-08-12 18:04:55.165,165,2021-08-12 15:04:55.165,2021-08-12 18:04:55.165,0,Dolphin Clicks                                    ,0,3,,
151,2021-08-12 18:04:58.784,784,2021-08-12 15:04:58.784,2021-08-12 18:04:58.784,0,Ship Noise                                        ,4,3,,
152,2021-08-12 18:05:01.510,510,2021-08-12 15:05:01.510,2021-08-12 18:05:01.510,0,Airguns                                           ,0,3,,
153,2021-08-12 18:05:02.690,690,2021-08-12 15:05:02.690,2021-08-12 18:05:02.690,0,Other Noise                                       ,0,3,,
154,2021-08-12 18:05:06.389,389,2021-08-12 15:05:06.389,2021-08-12 18:05:06.389,0,,-1,3,engine on                                         ,
155,2021-08-12 18:09:34.558,558,2021-08-12 15:09:34.558,2021-08-12 18:09:34.558,0,NBW                                               ,2,3,,
156,2021-08-12 18:33:50.555,555,2021-08-12 15:33:50.555,2021-08-12 18:33:50.555,0,NBW                                               ,4,3,,
157,2021-08-12 18:34:02.576,576,2021-08-12 15:34:02.576,2021-08-12 18:34:02.576,0,,-1,3,NBW patterns - possible - rolling around the boat ,yes
158,2021-08-12 18:34:39.349,349,2021-08-12 15:34:39.349,2021-08-12 18:34:39.349,0,Other Noise                                       ,2,3,,
159,2021-08-12 18:34:55.106,106,2021-08-12 15:34:55.106,2021-08-12 18:34:55.106,0,,-1,3,"extremely loud clicks, some buzzes                ",yes
160,2021-08-12 18:35:44.168,168,2021-08-12 15:35:44.168,2021-08-12 18:35:44.168,0,,-1,3,buzzing                                           ,yes
161,2021-08-12 18:37:47.681,681,2021-08-12 15:37:47.681,2021-08-12 18:37:47.681,0,Other Noise                                       ,4,3,"tailslapping, buzzing, raspberries                ",yes
162,2021-08-12 18:37:49.596,596,2021-08-12 15:37:49.596,2021-08-12 18:37:49.596,0,Airguns                                           ,0,3,,
163,2021-08-12 18:37:50.464,464,2021-08-12 15:37:50.464,2021-08-12 18:37:50.465,0,Ship Noise                                        ,0,3,,
164,2021-08-12 18:37:52.461,461,2021-08-12 15:37:52.461,2021-08-12 18:37:52.461,0,Dolphin Whistles                                  ,1,3,,
165,2021-08-12 18:37:56.195,195,2021-08-12 15:37:56.195,2021-08-12 18:37:56.195,0,Sperm Whale                                       ,0,3,,
166,2021-08-12 18:37:57.146,146,2021-08-12 15:37:57.146,2021-08-12 18:37:57.146,0,NBW                                               ,0,3,,
167,2021-08-12 18:37:58.052,52,2021-08-12 15:37:58.052,2021-08-12 18:37:58.052,0,Sperm Whale                                       ,0,3,,
168,2021-08-12 19:03:51.338,338,2021-08-12 16:03:51.338,2021-08-12 19:03:51.338,0,NBW                                               ,3,3,,
169,2021-08-12 19:03:52.512,512,2021-08-12 16:03:52.512,2021-08-12 19:03:52.512,0,Sperm Whale                                       ,0,3,,
170,2021-08-12 19:03:53.927,927,2021-08-12 16:03:53.927,2021-08-12 19:03:53.927,0,Dolphin Clicks                                    ,0,3,,
171,2021-08-12 19:03:55.607,607,2021-08-12 16:03:55.607,2021-08-12 19:03:55.607,0,Dolphin Whistles                                  ,0,3,,
172,2021-08-12 19:03:59.145,145,2021-08-12 16:03:59.145,2021-08-12 19:03:59.145,0,Ship Noise                                        ,5,3,,
173,2021-08-12 19:04:00.287,287,2021-08-12 16:04:00.287,2021-08-12 19:04:00.287,0,Airguns                                           ,0,3,,
174,2021-08-12 19:04:00.958,958,2021-08-12 16:04:00.958,2021-08-12 19:04:00.958,0,Other Noise                                       ,0,3,,
175,2021-08-12 19:04:05.556,556,2021-08-12 16:04:05.556,2021-08-12 19:04:05.556,0,,-1,3,engine on                                         ,
176,2021-08-12 19:33:36.183,183,2021-08-12 16:33:36.183,2021-08-12 19:33:36.183,0,NBW                                               ,2,3,,
177,2021-08-12 19:33:37.084,84,2021-08-12 16:33:37.084,2021-08-12 19:33:37.084,0,Sperm Whale                                       ,0,3,,
178,2021-08-12 19:33:37.939,939,2021-08-12 16:33:37.939,2021-08-12 19:33:37.939,0,Dolphin Clicks                                    ,0,3,,
179,2021-08-12 19:33:38.722,722,2021-08-12 16:33:38.722,2021-08-12 19:33:38.722,0,Dolphin Whistles                                  ,0,3,,
180,2021-08-12 19:33:39.460,460,2021-08-12 16:33:39.460,2021-08-12 19:33:39.460,0,Ship Noise                                        ,0,3,,
181,2021-08-12 19:33:41.252,252,2021-08-12 16:33:41.252,2021-08-12 19:33:41.252,0,Airguns                                           ,0,3,,
182,2021-08-12 19:33:41.991,991,2021-08-12 16:33:41.991,2021-08-12 19:33:41.991,0,Other Noise                                       ,0,3,,
183,2021-08-12 19:35:56.864,864,2021-08-12 16:35:56.864,2021-08-12 19:35:56.864,0,NBW                                               ,0,3,,
184,2021-08-12 19:36:12.668,668,2021-08-12 16:36:12.668,2021-08-12 19:36:12.668,0,,-1,3,nbw encounterwith two individuals                 ,
185,2021-08-12 20:28:02.686,686,2021-08-12 17:28:02.686,2021-08-12 20:28:02.686,0,NBW                                               ,0,3,,
186,2021-08-12 20:28:05.642,642,2021-08-12 17:28:05.642,2021-08-12 20:28:05.642,0,Sperm Whale                                       ,0,3,,
187,2021-08-12 20:28:06.837,837,2021-08-12 17:28:06.837,2021-08-12 20:28:06.837,0,Dolphin Clicks                                    ,0,3,,
188,2021-08-12 20:28:08.024,24,2021-08-12 17:28:08.024,2021-08-12 20:28:08.024,0,Dolphin Whistles                                  ,0,3,,
189,2021-08-12 20:28:13.127,127,2021-08-12 17:28:13.127,2021-08-12 20:28:13.127,0,Ship Noise                                        ,2,3,,
190,2021-08-12 20:28:16.017,17,2021-08-12 17:28:16.017,2021-08-12 20:28:16.017,0,Other Noise                                       ,0,3,,
191,2021-08-12 21:04:46.563,563,2021-08-12 18:04:46.563,2021-08-12 21:04:46.563,0,NBW                                               ,0,3,,
192,2021-08-12 21:04:47.508,508,2021-08-12 18:04:47.508,2021-08-12 21:04:47.508,0,Sperm Whale                                       ,0,3,,
193,2021-08-12 21:04:48.237,237,2021-08-12 18:04:48.237,2021-08-12 21:04:48.237,0,Dolphin Clicks                                    ,0,3,,
194,2021-08-12 21:04:49.063,63,2021-08-12 18:04:49.063,2021-08-12 21:04:49.063,0,Dolphin Whistles                                  ,0,3,,
195,2021-08-12 21:04:51.120,120,2021-08-12 18:04:51.120,2021-08-12 21:04:51.120,0,Ship Noise                                        ,2,3,,
196,2021-08-12 21:04:52.159,159,2021-08-12 18:04:52.159,2021-08-12 21:04:52.159,0,Airguns                                           ,0,3,,
197,2021-08-12 21:04:53.082,82,2021-08-12 18:04:53.082,2021-08-12 21:04:53.082,0,Other Noise                                       ,0,3,,
198,2021-08-12 21:31:18.414,414,2021-08-12 18:31:18.414,2021-08-12 21:31:18.414,0,NBW                                               ,4,3,,
199,2021-08-12 21:31:28.941,941,2021-08-12 18:31:28.941,2021-08-12 21:31:28.941,0,Ship Noise                                        ,4,3,,
200,2021-08-12 21:31:37.382,382,2021-08-12 18:31:37.382,2021-08-12 21:31:37.382,0,,-1,3,engine on                                         ,
201,2021-08-12 21:31:44.951,951,2021-08-12 18:31:44.951,2021-08-12 21:31:44.951,0,Airguns                                           ,0,3,,
202,2021-08-12 21:32:28.709,709,2021-08-12 18:32:28.709,2021-08-12 21:32:28.709,0,,-1,3,"ingnore last entry ""air guns""                     ",
